outcome_type;sex;Spay/Neuter;outcome_age_(days);Cat/Kitten (outcome);cfa_breed;coat_pattern;color1;color2;breed1;breed2
Adoption;Male;Yes;60;Kitten;False;tabby;cream;;domestic shorthair;
Adoption;Male;Yes;210;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;;blue;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;white;blue;domestic shorthair;
Transfer;Female;Yes;1095;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;180;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic shorthair;
Died;Male;No;30;Kitten;False;tabby;orange ;white;domestic shorthair;
Died;Female;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Euthanasia;Male;Yes;1095;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;90;Kitten;False;;gray;white;domestic mediumhair;
Transfer;Female;No;60;Kitten;False;tabby;brown ;white;domestic mediumhair;
Euthanasia;Male;No;730;Cat;False;tabby;brown ;white;domestic shorthair;
Return to Owner;Female;Yes;730;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;90;Kitten;False;tabby;brown;;domestic longhair;
Transfer;Female;No;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;blue;;cymric;
Euthanasia;Male;No;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;black;;domestic shorthair;
Transfer;Male;Yes;90;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;black;;domestic shorthair;
Transfer;Female;No;365;Cat;False;torbie;Breed Specific;;domestic shorthair;
Euthanasia;Female;Yes;2920;Cat;True;point;flame;;persian;
Adoption;Male;Yes;60;Kitten;True;point;lynx;;siamese;
Euthanasia;Male;No;1095;Cat;False;;black;;domestic shorthair;
Euthanasia;Female;No;3650;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;2920;Cat;False;;black;;domestic mediumhair;
Transfer;Female;No;14;Kitten;True;point;lynx;;siamese;
Adoption;Female;Yes;150;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;730;Cat;True;;black;white;manx;domestic shorthair
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;orange;;domestic longhair;
Adoption;Female;Yes;2920;Cat;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;No;6;Kitten;False;torbie;Breed Specific;;domestic mediumhair;
Transfer;Female;No;270;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;150;Kitten;True;point;seal;;siamese;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;1095;Cat;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;No;365;Cat;False;;black;;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;tabby;cream;;domestic shorthair;
Adoption;Female;No;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;365;Cat;False;;black;;domestic shorthair;
Adoption;Male;Yes;1825;Cat;True;tabby;brown;;manx;
Transfer;Male;Yes;30;Kitten;False;;white;orange;domestic shorthair;
Adoption;Male;No;30;Kitten;False;point;seal ;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;torbie;Breed Specific;white;domestic shorthair;
Transfer;Female;No;730;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Euthanasia;Male;Yes;7300;Cat;False;;blue;;domestic mediumhair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;blue;white;domestic shorthair;
Transfer;Male;No;60;Kitten;False;;white;orange;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;1460;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;240;Cat;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;Yes;730;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;;domestic shorthair;
Adoption;Female;No;120;Kitten;False;;blue;;domestic shorthair;
Return to Owner;Female;Yes;730;Cat;True;;blue;;russian blue;
Adoption;Male;Yes;2555;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;180;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;2555;Cat;False;torbie;Breed Specific;;domestic shorthair;
Return to Owner;Male;Yes;1825;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;calico;Breed Specific;;domestic shorthair;
Euthanasia;Male;Yes;1460;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;730;Cat;False;tabby;brown ;white;domestic shorthair;
Return to Owner;Female;Yes;1095;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;730;Cat;False;tabby;brown;;domestic longhair;
Transfer;Male;No;60;Kitten;False;tabby;cream;;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;730;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;2190;Cat;False;calico;Breed Specific;;domestic mediumhair;
Adoption;Male;Yes;365;Cat;False;tabby;blue ;cream;domestic shorthair;
Transfer;Male;No;2;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;1095;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;1825;Cat;False;;black;white;domestic shorthair;
Transfer;Female;No;30;Kitten;False;;blue;;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown ;white;domestic shorthair;
Died;Female;Yes;365;Cat;False;;black;white;domestic mediumhair;
Adoption;Female;Yes;90;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic mediumhair;
Transfer;Female;No;21;Kitten;False;;blue;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;black;;domestic shorthair;
Died;Male;No;30;Kitten;False;tabby;cream ;white;domestic shorthair;
Transfer;Female;No;365;Cat;False;;blue;;domestic shorthair;
Euthanasia;Male;No;30;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;3285;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Female;No;365;Cat;False;;black;;domestic shorthair;
Transfer;Male;No;60;Kitten;False;tabby;orange ;white;domestic longhair;
Return to Owner;Male;Yes;5475;Cat;True;tabby;brown;;maine coon;
Transfer;Female;No;365;Cat;False;calico;Breed Specific;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;2190;Cat;False;torbie;Breed Specific;white;domestic shorthair;
Transfer;Female;Yes;270;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;1095;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;;blue;;angora;
Transfer;Female;No;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Male;No;365;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;black;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;blue;white;domestic shorthair;
Transfer;Female;No;365;Cat;True;point;lynx;;siamese;
Transfer;Male;No;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;3;Kitten;False;;white;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;True;tabby;brown;;manx;
Transfer;Female;No;365;Cat;False;tabby;white;blue;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;calico;Breed Specific;black;domestic shorthair;
Adoption;Female;Yes;150;Kitten;True;point;chocolate;;tonkinese;
Transfer;Male;No;7;Kitten;False;;cream;orange;domestic shorthair;
Transfer;Male;No;90;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;point;seal ;white;snowshoe;
Adoption;Male;Yes;150;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;150;Kitten;False;calico;Breed Specific;brown;domestic shorthair;
Transfer;Female;No;21;Kitten;True;point;lilac;;siamese;
Adoption;Female;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;4380;Cat;False;tabby;brown ;white;domestic mediumhair;
Adoption;Male;Yes;180;Cat;False;;blue;white;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;2555;Cat;False;;white;black;domestic longhair;
Euthanasia;Female;Yes;90;Kitten;False;tabby;brown;;domestic mediumhair;
Transfer;Female;No;120;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;30;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;blue;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Return to Owner;Female;Yes;1825;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;180;Cat;False;;blue;white;domestic mediumhair;
Adoption;Male;Yes;120;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;1095;Cat;False;tabby;brown ;white;domestic longhair;
Transfer;Male;No;21;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;1095;Cat;False;tabby;cream;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;tabby;cream;;domestic shorthair;
Transfer;Male;No;730;Cat;False;;white;black;domestic shorthair;
Adoption;Female;Yes;2555;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;365;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;300;Cat;False;;black;white;domestic shorthair;
Transfer;Female;Yes;0;Kitten;False;tabby;blue ;white;domestic shorthair;
Transfer;Female;No;90;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;210;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;No;60;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Return to Owner;Male;Yes;1095;Cat;False;tabby;orange ;white;domestic longhair;
Adoption;Male;Yes;60;Kitten;False;tabby;silver;;domestic shorthair;
Adoption;Female;Yes;3650;Cat;True;tabby;brown;;maine coon;
Transfer;Male;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;1460;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;blue ;white;domestic shorthair;
Transfer;Male;No;21;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;730;Cat;False;calico;Breed Specific;white;domestic longhair;
Return to Owner;Female;Yes;330;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tabby;blue ;white;domestic shorthair;
Transfer;Male;No;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Female;Yes;2920;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;28;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;300;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;28;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;730;Cat;True;point;flame;;siamese;
Transfer;Male;No;28;Kitten;True;tabby;brown ;gray;manx;
Adoption;Male;Yes;270;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;3285;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Died;Female;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;;black;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Male;Yes;1095;Cat;False;tabby;cream ;white;domestic shorthair;
Transfer;Female;No;1;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;730;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic longhair;
Adoption;Male;Yes;60;Kitten;False;tabby;blue ;white;domestic shorthair;
Return to Owner;Male;Yes;150;Kitten;False;tabby;orange;;domestic mediumhair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;330;Cat;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;1460;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;2920;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;1825;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;21;Kitten;False;smoke;black ;white;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;tabby;brown;;domestic shorthair;
Return to Owner;Female;Yes;2190;Cat;True;tortie;Breed Specific;;siamese;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;6;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;150;Kitten;False;;blue;;domestic shorthair;
Adoption;Female;Yes;1460;Cat;False;;white;;angora;
Adoption;Male;Yes;120;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Female;No;180;Cat;False;;blue;;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;tabby;cream ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;3;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tortie;Breed Specific;;domestic mediumhair;
Transfer;Male;No;28;Kitten;False;tabby;brown;;domestic shorthair;
Euthanasia;Female;Yes;150;Kitten;False;;black;white;domestic longhair;
Transfer;Female;No;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;black;;domestic mediumhair;
Adoption;Female;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Euthanasia;Female;No;2920;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;;black;;domestic mediumhair;
Transfer;Female;Yes;1095;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;60;Kitten;False;;blue;;domestic mediumhair;
Adoption;Female;Yes;210;Cat;True;tortie;Breed Specific;white;manx;
Died;Female;Yes;365;Cat;False;;white;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic longhair;
Adoption;Male;Yes;3650;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;180;Cat;False;tabby;blue ;white;domestic mediumhair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;28;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Euthanasia;Female;Yes;1460;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;brown;;domestic mediumhair;
Transfer;Male;No;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;cream;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;365;Cat;False;tabby;cream ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;True;tabby;orange ;white;manx;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Euthanasia;Female;No;210;Cat;False;tabby;brown ;white;domestic shorthair;
Euthanasia;Male;No;30;Kitten;False;;black;;domestic longhair;
Transfer;Female;No;365;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown ;;domestic shorthair;
Transfer;Male;No;28;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;3650;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;180;Cat;False;;black;white;domestic shorthair;
Adoption;Female;Yes;1460;Cat;False;calico;Breed Specific;;domestic shorthair;
Return to Owner;Female;Yes;365;Cat;False;;white;blue;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;tabby;orange ;white;domestic shorthair;
Euthanasia;Male;No;28;Kitten;False;;black;;domestic mediumhair;
Transfer;Male;Yes;1095;Cat;False;smoke;black;black;himalayan;
Transfer;Male;Yes;1460;Cat;True;tabby;brown;;norwegian forest cat;
Euthanasia;Female;No;2920;Cat;False;;white;black;domestic shorthair;
Euthanasia;Female;Yes;365;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;240;Cat;False;smoke;black ;white;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;Yes;180;Cat;False;tabby;blue ;white;domestic mediumhair;
Transfer;Male;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;730;Cat;False;;blue;white;domestic shorthair;
Transfer;Male;No;3;Kitten;False;tabby;blue;;domestic shorthair;
Return to Owner;Female;Yes;1095;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Male;No;7;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;1460;Cat;False;;blue cream;;domestic mediumhair;
Transfer;Female;No;730;Cat;False;;black;;domestic shorthair;
Return to Owner;Male;Yes;1825;Cat;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic longhair;
Transfer;Male;No;120;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Return to Owner;Male;No;1460;Cat;False;tabby;blue ;white;domestic longhair;
Died;Male;No;1;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;730;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;365;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;3;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;730;Cat;False;;blue;white;domestic shorthair;
Transfer;Female;Yes;180;Cat;True;point;lynx;;siamese;
Transfer;Female;No;28;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;white;blue;domestic shorthair;
Transfer;Female;No;30;Kitten;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic mediumhair;
Adoption;Female;Yes;365;Cat;False;;white;black;domestic longhair;
Transfer;Female;No;180;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;300;Cat;False;tabby;white;orange;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;;black;white;domestic shorthair;
Adoption;Female;Yes;330;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;5;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;Yes;2190;Cat;False;;white;black;domestic shorthair;
Adoption;Male;No;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;7;Kitten;False;;black;;domestic shorthair;
Return to Owner;Male;Yes;730;Cat;False;tabby;orange;;domestic longhair;
Adoption;Female;Yes;210;Cat;False;;black;white;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;;black;;domestic shorthair;
Transfer;Male;Yes;270;Cat;True;point;flame;;siamese;
Return to Owner;Male;Yes;730;Cat;False;;black;;domestic mediumhair;
Adoption;Male;No;60;Kitten;True;point;flame;;siamese;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Euthanasia;Female;No;30;Kitten;True;point;seal;;siamese;
Adoption;Male;No;30;Kitten;False;;black;;domestic shorthair;
Adoption;Female;No;30;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;7;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;;blue;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Return to Owner;Male;Yes;210;Cat;False;tabby;blue ;white;domestic shorthair;
Transfer;Female;No;14;Kitten;False;point;seal;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;cream ;white;domestic shorthair;
Return to Owner;Female;Yes;1460;Cat;False;tabby;brown ;white;domestic longhair;
Adoption;Female;Yes;3650;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;No;7;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic longhair;
Transfer;Female;No;365;Cat;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;210;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;730;Cat;False;;white;black;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;730;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;28;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;gray;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;;domestic mediumhair;
Adoption;Male;No;30;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;365;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;730;Cat;False;tabby;black ;white;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;Yes;120;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;28;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;210;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;7;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tabby;brown ;white;domestic mediumhair;
Adoption;Female;Yes;30;Kitten;False;;blue;;domestic shorthair;
Transfer;Male;No;28;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;30;Kitten;False;;white;;domestic shorthair;
Transfer;Female;Yes;240;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;black;white;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Euthanasia;Male;No;30;Kitten;False;;black;;domestic shorthair;
Transfer;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;;domestic shorthair;
Adoption;Male;Yes;2555;Cat;False;;black;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;point;seal;;domestic mediumhair;
Transfer;Female;No;21;Kitten;False;;black;;domestic shorthair;
Return to Owner;Male;Yes;1095;Cat;False;;black;white;domestic longhair;
Transfer;Male;No;60;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;1460;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;black;;domestic mediumhair;
Transfer;Male;Yes;180;Cat;False;;black;;domestic shorthair;
